ano,municipio,num_vitimas,num_vitimas_abs,duracao_vitimacao_1_6_m,duracao_vitimacao_7_12_m,duracao_vitimacao_2_6_a,duracao_vitimacao_7_11_a,duracao_vitimacao_12_25_a,26_40_anos,40_mais_anos,rel_agr_conjuge,rel_agr_companheiro,rel_agr_filho,rel_agr_ex_companheiro,rel_agr_progenitor,rel_agr_outro,vitima_0_10,vitima_11_17,vitima_18_25,vitima_26_35,vitima_36_45,vitima_46_55,vitima_56_64,vitima_65+,autor_crime_0_17,autor_crime_18_25,autor_crime_26_35,autor_crime_36_45,autor_crime_46_55,autor_crime_56_64,autor_crime_65+,vitimas_feminino,vitimas_masculino,autor_crime_feminino,autor_crime_masculino,vitima_casado,vitima_divorciado,vitima_separado,vitima_solteiro,vitima_uniao_de_facto,vitima_viuvo,autor_crime_casado,autor_crime_divorciado,autor_crime_separado,autor_crime_solteiro,autor_crime_uniao_de_facto,autor_crime_viuvo,vitima_alargada,vitima_individuo_isolado,vitima_monoparental,vitima_nuclear_com_filhos,vitima_nuclear_sem_filhos,vitima_reconstruida,vitima_outro,autor_crime_desempregado,autor_crime_empregado,autor_crime_estudante,autor_crime_reformado,autor_crime_domestico,autor_crime_incapacitado,autor_crime_outro,codigo_municipio
2013,Oliveira de Azeméis,10,10,1,1,2,1,1,0,0,3,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,8,1,1,8,4,1,1,2,1,0,4,1,1,1,1,0,0,1,1,5,1,1,0,2,3,0,1,0,0,0,113
2013,Paredes,13,13,1,1,3,1,1,1,0,4,2,1,1,1,3,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,11,2,2,11,5,1,1,3,1,0,6,1,1,1,2,0,1,1,2,6,1,1,0,2,4,0,1,0,0,0,1310
2013,Porto,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1312
2013,Póvoa de Varzim,34,34,2,3,7,2,3,1,0,11,6,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,29,5,4,29,13,3,2,8,4,1,15,3,2,4,4,0,2,3,5,16,2,2,0,7,11,1,3,0,0,0,1313
2013,Santa Maria da Feira,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,109
2013,Santo Tirso,29,29,2,3,6,2,2,1,0,10,5,3,3,2,6,2,1,2,3,4,3,2,2,0,1,3,4,3,2,1,25,4,4,25,11,3,2,7,3,1,13,2,2,3,4,0,1,2,4,14,2,2,0,6,10,0,2,0,0,0,1314
2013,São João da Madeira,18,18,1,2,4,1,1,1,0,6,3,2,2,1,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,2,8,1,1,0,3,6,0,1,0,0,0,116
2013,Trofa,15,15,1,1,3,1,1,1,0,5,2,2,2,1,3,1,1,1,2,2,2,1,1,0,1,1,2,2,1,1,13,2,2,13,6,1,1,3,2,0,7,1,1,2,2,0,1,1,2,7,1,1,0,3,5,0,1,0,0,0,1318
2013,Vale de Cambra,30,30,2,3,6,2,2,1,0,10,5,3,3,3,6,2,2,2,3,5,3,2,2,0,1,3,4,3,2,1,26,4,4,26,11,3,2,7,3,1,13,2,2,3,4,0,1,2,4,14,2,2,0,6,10,0,2,0,0,0,119
2013,Valongo,21,21,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1315
2013,Vila do Conde,8,8,0,1,2,1,1,0,0,3,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,7,1,1,7,3,1,0,2,1,0,4,1,1,1,1,0,0,1,1,4,1,0,0,2,3,0,1,0,0,0,1316
2013,Vila Nova de Gaia,21,21,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1317
2013,Boticas,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,2,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,8,1,1,0,3,6,0,1,0,0,0,1702
2013,Chaves,37,37,2,3,7,2,3,1,0,12,6,4,4,3,8,2,2,2,4,6,4,2,3,0,1,3,5,4,2,2,31,5,5,31,14,3,2,8,4,1,16,3,2,4,5,0,2,3,5,17,2,2,0,7,12,1,3,0,0,0,1703
2013,Montalegre,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,3,17,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,9,1,1,0,4,7,0,2,0,0,0,1706
2013,Ribeira de Pena,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,3,3,1,1,20,3,3,20,9,2,1,5,3,1,10,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,1709
2013,Valpaços,17,17,1,2,3,1,1,1,0,6,3,2,2,1,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,6,2,1,4,2,1,8,1,1,2,2,0,1,1,2,8,1,1,0,3,6,0,1,0,0,0,1712
2013,Vila Pouca de Aguiar,31,31,2,3,6,2,2,1,0,10,5,3,3,3,7,2,2,2,3,5,3,2,3,0,1,3,5,3,2,1,27,4,4,26,12,3,2,7,3,1,14,2,2,4,4,0,2,2,4,14,2,2,0,6,10,0,2,0,0,0,1713
2013,Amarante,32,32,2,3,6,2,2,1,0,10,5,3,3,3,7,2,2,2,3,5,3,2,3,0,1,3,5,3,2,2,27,4,4,27,12,3,2,7,3,1,14,2,2,4,4,0,2,2,4,15,2,2,0,6,10,0,2,0,0,0,1301
2013,Baião,10,10,1,1,2,1,1,0,0,3,2,1,1,1,2,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,9,1,1,9,4,1,1,2,1,0,5,1,1,1,1,0,1,1,1,5,1,1,0,2,3,0,1,0,0,0,1302
2013,Castelo de Paiva,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,28,5,4,28,12,3,2,7,4,1,14,3,2,4,4,0,2,2,5,15,2,2,0,6,11,0,3,0,0,0,106
2013,Celorico de Basto,38,38,2,3,8,2,3,2,0,13,6,4,4,3,8,2,2,2,4,6,4,2,3,0,1,3,6,4,2,2,33,5,5,33,14,3,2,9,4,1,17,3,2,4,5,0,2,3,5,18,2,2,0,7,13,1,3,0,0,0,305
2013,Cinfães,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,21,3,3,21,9,2,1,5,3,1,11,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,1804
2013,Felgueiras,35,35,2,3,7,2,3,1,0,12,6,4,4,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,30,5,5,30,13,3,2,8,4,1,15,3,2,4,4,0,2,3,5,17,2,2,0,7,12,1,3,0,0,0,1303
2013,Lousada,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,3,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1305
2013,Marco de Canaveses,35,35,2,3,7,2,3,1,0,12,6,4,4,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,30,5,4,30,13,3,2,8,4,1,15,3,2,4,4,0,2,3,5,16,2,2,0,7,12,1,3,0,0,0,1307
2013,Paços de Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309
2013,Penafiel,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,3,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1311
2013,Resende,8,8,0,1,2,1,1,0,0,3,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,7,1,1,7,3,1,0,2,1,0,3,1,0,1,1,0,0,1,1,4,0,0,0,1,3,0,1,0,0,0,1813
2013,Alijó,20,20,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,17,3,2,17,7,2,1,4,2,1,9,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0,1701
2013,Armamar,17,17,1,2,3,1,1,1,0,6,3,2,2,1,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,6,2,1,4,2,1,8,1,1,2,2,0,1,1,2,8,1,1,0,3,6,0,1,0,0,0,1801
2013,Carrazeda de Ansiães,18,18,1,2,4,1,1,1,0,6,3,2,2,1,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,2,8,1,1,0,3,6,0,1,0,0,0,403
2013,Freixo de Espada à Cinta,48,48,3,4,10,3,4,2,1,16,8,5,5,4,10,3,2,3,5,7,5,3,4,0,2,4,7,5,3,2,41,7,6,41,18,4,3,11,5,2,21,4,3,5,6,0,2,4,7,23,3,3,1,9,16,1,4,0,0,0,404
2013,Lamego,21,21,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1805
2013,Mesão Frio,33,33,2,3,7,2,3,1,0,11,5,4,3,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,29,5,4,29,12,3,2,8,4,1,15,3,2,4,4,0,2,3,5,16,2,2,0,6,11,1,3,0,0,0,1704
2013,Moimenta da Beira,22,22,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1807
2013,Murça,13,13,1,1,3,1,1,1,0,4,2,1,1,1,3,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,11,2,2,11,5,1,1,3,1,0,6,1,1,1,2,0,1,1,2,6,1,1,0,2,4,0,1,0,0,0,1707
2013,Penedono,16,16,1,1,3,1,1,1,0,5,3,2,2,1,3,1,1,1,2,2,2,1,1,0,1,1,2,2,1,1,14,2,2,14,6,1,1,4,2,1,7,1,1,2,2,0,1,1,2,8,1,1,0,3,5,0,1,0,0,0,1812
2013,Peso da Régua,51,51,3,5,10,3,4,2,1,17,8,6,5,4,11,3,3,3,6,8,5,3,4,0,2,4,7,6,3,2,44,7,7,44,19,4,3,12,6,2,22,4,3,6,6,0,2,4,7,24,3,3,1,10,17,1,4,0,0,0,1708
2013,Sabrosa,8,8,0,1,2,1,1,0,0,3,1,1,1,1,2,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,7,1,1,7,3,1,0,2,1,0,4,1,1,1,1,0,0,1,1,4,1,0,0,2,3,0,1,0,0,0,1710
2013,Santa Marta de Penaguião,29,29,2,3,6,2,2,1,0,10,5,3,3,2,6,2,1,2,3,4,3,2,2,0,1,3,4,3,2,1,25,4,4,25,11,3,2,6,3,1,13,2,2,3,4,0,1,2,4,13,2,2,0,5,9,0,2,0,0,0,1711
2013,São João da Pesqueira,29,29,2,3,6,2,2,1,0,10,5,3,3,2,6,2,1,2,3,4,3,2,2,0,1,3,4,3,2,1,25,4,4,25,11,3,2,7,3,1,13,2,2,3,4,0,1,2,4,14,2,2,0,6,10,0,2,0,0,0,1815
2013,Sernancelhe,18,18,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,3,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0,1818
2013,Tabuaço,19,19,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,3,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0,1819
2013,Tarouca,14,14,1,1,3,1,1,1,0,5,2,2,1,1,3,1,1,1,2,2,2,1,1,0,1,1,2,2,1,1,12,2,2,12,5,1,1,3,2,0,6,1,1,2,2,0,1,1,2,7,1,1,0,3,5,0,1,0,0,0,1820
2013,Torre de Moncorvo,32,32,2,3,6,2,2,1,0,11,5,3,3,3,7,2,2,2,3,5,3,2,3,0,1,3,5,4,2,2,27,4,4,27,12,3,2,7,3,1,14,2,2,4,4,0,2,2,4,15,2,2,0,6,10,0,2,0,0,0,409
2013,Vila Nova de Foz Côa,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,21,3,3,21,9,2,1,5,3,1,11,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,914
2013,Vila Real,16,16,1,1,3,1,1,1,0,5,3,2,2,1,3,1,1,1,2,2,2,1,1,0,1,1,2,2,1,1,13,2,2,13,6,1,1,4,2,1,7,1,1,2,2,0,1,1,2,7,1,1,0,3,5,0,1,0,0,0,1714
2013,Alfândega da Fé,21,21,1,2,4,1,2,1,0,7,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,401
2013,Bragança,18,18,1,2,4,1,1,1,0,6,3,2,2,1,4,1,1,1,2,3,2,1,1,0,1,2,3,2,1,1,15,2,2,15,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,8,1,1,0,3,6,0,1,0,0,0,402
2013,Macedo de Cavaleiros,25,25,2,2,5,2,2,1,0,8,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,1,1,22,3,3,22,10,2,1,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,8,0,2,0,0,0,405
2013,Miranda do Douro,51,51,3,5,10,3,4,2,1,17,8,6,5,4,11,3,3,3,6,8,5,3,4,0,2,4,7,6,3,2,43,7,6,43,19,4,3,11,6,2,22,4,3,6,6,0,2,4,7,24,3,3,1,10,17,1,4,0,0,0,406
2013,Mirandela,21,21,1,2,4,1,2,1,0,7,3,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,18,3,3,18,8,2,1,5,2,1,9,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,407
2013,Mogadouro,24,24,1,2,5,2,2,1,0,8,4,3,2,2,5,2,1,2,3,4,3,1,2,0,1,2,3,3,1,1,21,3,3,21,9,2,1,5,3,1,10,2,1,3,3,0,1,2,3,11,2,1,0,5,8,0,2,0,0,0,408
2013,Vila Flor,26,26,2,2,5,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,23,4,3,23,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0,410
2013,Vimioso,28,28,2,3,6,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,2,2,0,1,2,4,3,2,1,24,4,4,24,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,13,2,2,0,5,9,0,2,0,0,0,411
2013,Vinhais,35,35,2,3,7,2,3,1,0,12,6,4,4,3,7,2,2,2,4,5,4,2,3,0,1,3,5,4,2,2,30,5,4,30,13,3,2,8,4,1,15,3,2,4,4,0,2,3,5,17,2,2,0,7,12,1,3,0,0,0,412
2013,Alcobaça,19,19,1,2,4,1,1,1,0,6,3,2,2,2,4,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,16,3,2,16,7,2,1,4,2,1,8,1,1,2,2,0,1,1,3,9,1,1,0,4,6,0,1,0,0,0,1001
2013,Alenquer,29,29,2,3,6,2,2,1,0,10,5,3,3,2,6,2,1,2,3,4,3,2,2,0,1,3,4,3,2,1,25,4,4,25,11,3,2,7,3,1,13,2,2,3,4,0,1,2,4,14,2,2,0,6,10,0,2,0,0,0,1101
2013,Arruda dos Vinhos,29,29,2,3,6,2,2,1,0,10,5,3,3,2,6,2,1,2,3,4,3,2,2,0,1,3,4,3,2,1,25,4,4,25,11,3,2,7,3,1,13,2,2,3,4,0,1,2,4,14,2,2,0,6,10,0,2,0,0,0,1102
2013,Bombarral,37,37,2,3,7,2,3,1,0,12,6,4,4,3,8,2,2,2,4,6,4,2,3,0,1,3,5,4,2,2,31,5,5,31,14,3,2,8,4,1,16,3,2,4,5,0,2,3,5,17,2,2,0,7,12,1,3,0,0,0,1005
2013,Cadaval,22,22,1,2,4,1,2,1,0,7,4,2,2,2,5,1,1,1,2,3,2,1,2,0,1,2,3,2,1,1,19,3,3,19,8,2,1,5,2,1,10,2,1,2,3,0,1,2,3,10,1,1,0,4,7,0,2,0,0,0,1104
2013,Caldas da Rainha,26,26,2,2,5,2,2,1,0,9,4,3,3,2,5,2,1,2,3,4,3,1,2,0,1,2,4,3,2,1,22,4,3,22,10,2,2,6,3,1,11,2,2,3,3,0,1,2,4,12,2,1,0,5,9,0,2,0,0,0,1006
2013,Lourinhã,13,13,1,1,3,1,1,1,0,4,2,1,1,1,3,1,1,1,1,2,1,1,1,0,0,1,2,1,1,1,11,2,2,11,5,1,1,3,1,0,6,1,1,1,2,0,1,1,2,6,1,1,0,2,4,0,1,0,0,0,1108
2013,Nazaré,37,37,2,3,7,2,3,1,0,12,6,4,4,3,8,2,2,2,4,6,4,2,3,0,1,3,5,4,2,2,31,5,5,31,14,3,2,8,4,1,16,3,2,4,5,0,2,3,5,17,2,2,0,7,12,1,3,0,0,0,1011
2013,Óbidos,28,28,2,2,6,2,2,1,0,9,4,3,3,2,6,2,1,2,3,4,3,2,2,0,1,2,4,3,2,1,24,4,4,24,10,2,2,6,3,1,12,2,2,3,3,0,1,2,4,13,2,2,0,5,9,0,2,0,0,0,1012
